Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/home/srijitsengupta/.volare/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/34-openroad-cts/soc_top.odb'…
Reading design constraints file at '/nix/store/ss2cw3sxbrwwx9jl0rrppbw4kgcmgi2n-python3-3.11.9-env/lib/python3.11/site-packages/openlane/scripts/base.sdc'…
[INFO] Using clock clk…
[INFO] Setting output delay to: 2.0
[INFO] Setting input delay to: 2.0
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[INFO] Setting timing derate to: 5%
[INFO] Setting RC values…
[INFO RSZ-0094] Found 58 endpoints with setup violations.
[INFO RSZ-0099] Repairing 58 out of 58 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
[INFO DPL-0020] Mirrored 1326 instances
[INFO DPL-0021] HPWL before           96974.8 u
[INFO DPL-0022] HPWL after            94862.4 u
[INFO DPL-0023] HPWL delta               -2.2 %
[INFO] Setting RC values…
Setting global connections for newly added cells…
[INFO] Setting global connections...
Updating metrics…
Cell type report:                       Count       Area
  Fill cell                               216     810.78
  Tap cell                               1210    1513.95
  Clock buffer                             21     287.78
  Timing Repair Buffer                    359    2848.98
  Inverter                                 26      97.59
  Clock inverter                           11     105.10
  Sequential cell                         126    3260.63
  Multi-Input combinational cell         3130   23947.97
  Total                                  5099   32872.78
Writing OpenROAD database to '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/36-openroad-resizertimingpostcts/soc_top.odb'…
Writing netlist to '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/36-openroad-resizertimingpostcts/soc_top.nl.v'…
Writing powered netlist to '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/36-openroad-resizertimingpostcts/soc_top.pnl.v'…
Writing layout to '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/36-openroad-resizertimingpostcts/soc_top.def'…
Writing timing constraints to '/home/srijitsengupta/rv32i_dsp_soc/openlane/runs/RUN_2026-07-27_08-13-02/36-openroad-resizertimingpostcts/soc_top.sdc'…
